step,phi_L,phi_H,perf,bound_updated
250640,0.800,1.100,0.70,L
250912,0.800,1.200,0.78,H
254020,0.800,1.300,0.72,H
255026,0.700,1.300,0.84,L
259315,0.600,1.300,0.74,L
262077,0.600,1.400,0.70,H
272205,0.500,1.400,0.72,L
281205,0.400,1.400,0.70,L
284947,0.300,1.400,0.80,L
287678,0.300,1.500,0.72,H
291625,0.200,1.500,0.76,L
293879,0.200,1.600,0.74,H
295528,0.100,1.600,0.70,L
296957,0.100,1.700,0.76,H
300693,0.100,1.800,0.74,H
304034,0.100,1.900,0.82,H
307126,0.100,2.000,0.76,H
310192,0.100,2.100,0.78,H
313753,0.100,2.200,0.84,H
316523,0.100,2.300,0.84,H
319635,0.100,2.400,0.82,H
322262,0.100,2.500,0.88,H
324593,0.100,2.600,0.92,H
327044,0.100,2.700,0.88,H
329481,0.100,2.800,0.88,H
332400,0.100,2.900,0.84,H
336263,0.100,3.000,0.88,H
339474,0.100,3.100,0.90,H
342145,0.100,3.200,0.86,H
345311,0.100,3.300,0.86,H
348327,0.100,3.400,0.88,H
350671,0.100,3.500,0.86,H
352757,0.100,3.600,0.88,H
355793,0.100,3.700,0.90,H
358688,0.100,3.800,0.80,H
362065,0.100,3.900,0.84,H
365639,0.100,4.000,0.88,H
396514,0.100,4.100,0.72,H
403685,0.100,4.200,0.72,H
405613,0.100,4.300,0.86,H
409379,0.100,4.400,0.80,H
411893,0.100,4.500,0.86,H
414886,0.100,4.600,0.84,H
417383,0.100,4.700,0.86,H
419834,0.100,4.800,0.88,H
422634,0.100,4.900,0.90,H
425341,0.100,5.000,0.96,H
427733,0.100,5.100,0.88,H
430195,0.100,5.200,0.90,H
432477,0.100,5.300,0.92,H
434857,0.100,5.400,0.90,H
436684,0.100,5.500,0.90,H
439140,0.100,5.600,0.92,H
441734,0.100,5.700,0.90,H
443487,0.100,5.800,0.88,H
445598,0.100,5.900,0.96,H
447174,0.100,6.000,0.94,H
449606,0.100,6.100,0.92,H
452421,0.100,6.200,0.88,H
454327,0.100,6.300,0.94,H
456318,0.100,6.400,0.98,H
457916,0.100,6.500,0.96,H
460047,0.100,6.600,0.90,H
462066,0.100,6.700,0.96,H
464032,0.100,6.800,0.94,H
467125,0.100,6.900,0.92,H
469022,0.100,7.000,0.94,H
471153,0.100,7.100,0.96,H
473622,0.100,7.200,0.88,H
476214,0.100,7.300,0.98,H
478436,0.100,7.400,0.94,H
480873,0.100,7.500,0.86,H
483015,0.100,7.600,0.92,H
485583,0.100,7.700,0.94,H
487730,0.100,7.800,0.90,H
490291,0.100,7.900,0.86,H
492374,0.100,8.000,0.86,H
494991,0.100,8.100,0.84,H
497474,0.100,8.200,0.90,H
499979,0.100,8.300,0.90,H
